Start Date,12/23/2025,,Tool ID,2975
Start Time,12:32:00 AM
End Date,12/23/2025,,Red/Blue Indicator,Blue
End Time,01:02:00 AM,,Refrigerant Type,R-404A
Duration,30minutes
Interval,1min

Time,Pressure(psig),Vapor Saturation(°F)
12:32:00 AM,86.8,40.5
12:33:00 AM,88.0,41.2
12:34:00 AM,68.8,29.3
12:35:00 AM,57.9,21.5
12:36:00 AM,60.5,23.4
12:37:00 AM,59.6,22.8
12:38:00 AM,57.8,21.4
12:39:00 AM,56.0,20.1
12:40:00 AM,54.4,18.8
12:41:00 AM,52.8,17.6
12:42:00 AM,50.9,16.1
12:43:00 AM,49.8,15.2
12:44:00 AM,47.6,13.4
12:45:00 AM,48.1,13.8
12:46:00 AM,45.1,11.3
12:47:00 AM,60.9,23.7
12:48:00 AM,67.7,28.5
12:49:00 AM,51.1,16.2
12:50:00 AM,50.4,15.7
12:51:00 AM,45.0,11.2
12:52:00 AM,51.8,16.8
12:53:00 AM,62.8,25.1
12:54:00 AM,67.8,28.6
12:55:00 AM,54.6,19.0
12:56:00 AM,50.3,15.6
12:57:00 AM,44.8,11.0
12:58:00 AM,54.6,19.0
12:59:00 AM,63.2,25.4
01:00:00 AM,67.6,28.5
01:01:00 AM,56.3,20.3
01:02:00 AM,50.4,15.7
